report_year,agency_code,agency_jurisdiction,population,robberies,months_reported,robberies_percapita
1979,MD01721,"Prince George's County, MD",559514,2276,12,406.78
1979,NC09201,"Raleigh, NC",140285,202,12,143.99
1979,CA03404,"Sacramento, CA",274300,1640,12,597.89
1979,UT01803,"Salt Lake City, UT",180189,495,12,274.71
1979,TXSPD00,"San Antonio, TX",829138,1689,12,203.71
1979,CA03711,"San Diego, CA",829322,2884,12,347.75
1979,CA03801,"San Francisco, CA",659176,6694,12,1015.51
1979,CA04313,"San Jose, CA",604993,1358,12,224.47
1979,WASPD00,"Seattle, WA",521590,2071,12,397.06
1979,MOSPD00,"St. Louis, MO",505451,5386,12,1065.58
1979,NY05101,"Suffolk County, NY",1165851,1111,12,95.3
1979,FL02902,"Tampa, FL",277203,1312,12,473.3
1979,AZ01003,"Tucson, AZ",315978,697,12,220.58
1979,OK07205,"Tulsa, OK",343258,651,12,189.65
1979,VA12800,"Virginia Beach, VA",244308,188,12,76.95
1979,DCMPD00,"Washington, DC",656000,6920,12,1054.88
1979,KS08703,"Wichita, KS",273559,668,12,244.19
1979,,United States,,,,
1980,NM00101,"Albuquerque, NM",328837,914,12,277.95
1980,TX22001,"Arlington, TX",161192,196,12,121.59
1980,GAAPD00,"Atlanta, GA",422474,4733,12,1120.31
1980,CO00101,"Aurora, CO",158249,351,12,221.8
1980,TX22701,"Austin, TX",343425,678,12,197.42
1980,MD00301,"Baltimore County, MD",651337,1208,12,185.46
1980,MDBPD00,"Baltimore, MD",784554,10020,12,1277.16
1980,MA01301,"Boston, MA",562582,7526,12,1337.76
1980,NY01401,"Buffalo, NY",357384,1914,12,535.56
1980,NC06001,"Charlotte, NC",310794,686,12,220.72
1980,ILCPD00,"Chicago, IL",2986419,16261,12,544.5
1980,OHCIP00,"Cincinnati, OH",383114,1686,12,440.08
1980,OHCLP00,"Cleveland, OH",572657,6802,12,1187.8
1980,OHCOP00,"Columbus, OH",562416,3224,12,573.24
1980,TXDPD00,"Dallas, TX",900104,4983,12,553.6
1980,CODPD00,"Denver, CO",489318,2366,12,483.53
1980,MI82349,"Detroit, MI",1197325,13429,12,1121.58
1980,TX07102,"El Paso, TX",425122,828,12,194.77
1980,VA02901,"Fairfax County, VA",568736,503,12,88.44
1980,TX22012,"Fort Worth, TX",382679,2286,12,597.37
1980,CA01005,"Fresno, CA",215396,1232,12,571.97
1980,HI00200,"Honolulu, HI",762020,1729,12,226.9
1980,TXHPD00,"Houston, TX",1557575,9181,10,589.44
1980,INIPD00,"Indianapolis, IN",698753,2193,12,313.84
1980,FL01602,"Jacksonville, FL",542795,1631,12,300.48
1980,MOKPD00,"Kansas City, MO",446865,2889,12,646.5
1980,NV00201,"Las Vegas, NV",385396,2636,12,683.97
1980,CA01941,"Long Beach, CA",356906,2781,12,779.2
1980,CA01900,"Los Angeles County, CA",1020111,3932,12,385.45
1980,CA01942,"Los Angeles, CA",2952511,25637,12,868.31
1980,KY05680,"Louisville, KY",,,,
1980,TNMPD00,"Memphis, TN",644957,3846,12,596.32
1980,AZ00717,"Mesa, AZ",149662,193,12,128.96
1980,FL01300,"Miami-Dade County, FL",774491,5698,12,735.71
1980,FL01306,"Miami, FL",335718,6890,12,2052.32
1980,WIMPD00,"Milwaukee, WI",633845,1796,12,283.35
1980,MN02711,"Minneapolis, MN",370163,2267,12,612.43
1980,MD01604,"Montgomery County, MD",519381,798,12,153.64
1980,TN01901,"Nashville, TN",452025,2027,12,448.43
1980,NY02900,"Nassau County, NY",1049118,926,12,88.26
1980,LANPD00,"New Orleans, LA",557761,4647,12,833.15
1980,NY03030,"New York City, NY",7035348,100550,12,1429.21
1980,NJNPD00,"Newark, NJ",330104,6845,12,2073.59
1980,CA00109,"Oakland, CA",338721,4248,12,1254.13
1980,OK05506,"Oklahoma City, OK",401577,1251,12,311.52
1980,NB02802,"Omaha, NE",312919,1053,12,336.51
1980,FL04804,"Orlando, FL",127811,742,12,580.54
1980,PAPEP00,"Philadelphia, PA",1681175,10883,12,647.34
1980,AZ00723,"Phoenix, AZ",772884,3037,12,392.94
1980,PAPPD00,"Pittsburgh, PA",424205,3252,12,766.61
1980,OR02602,"Portland, OR",364419,2249,12,617.15
1980,MD01721,"Prince George's County, MD",556147,2888,12,519.29
1980,NC09201,"Raleigh, NC",148429,260,12,175.17
1980,CA03404,"Sacramento, CA",274547,1604,12,584.24
1980,UT01803,"Salt Lake City, UT",162985,528,12,323.96
1980,TXSPD00,"San Antonio, TX",788049,1742,12,221.05
1980,CA03711,"San Diego, CA",874826,2986,12,341.33
1980,CA03801,"San Francisco, CA",674150,7527,12,1116.52
1980,CA04313,"San Jose, CA",628106,1714,12,272.88
1980,WASPD00,"Seattle, WA",491897,2253,12,458.02
1980,MOSPD00,"St. Louis, MO",450790,5938,12,1317.24
1980,NY05101,"Suffolk County, NY",1158917,1348,12,116.32
1980,FL02902,"Tampa, FL",268709,1877,12,698.53
1980,AZ01003,"Tucson, AZ",331506,655,12,197.58
1980,OK07205,"Tulsa, OK",355766,798,12,224.3
1980,VA12800,"Virginia Beach, VA",260680,210,12,80.56
1980,DCMPD00,"Washington, DC",635233,8897,12,1400.59
1980,KS08703,"Wichita, KS",279352,826,12,295.68
1980,,United States,,,,
1981,NM00101,"Albuquerque, NM",336840,1107,12,328.64
1981,TX22001,"Arlington, TX",167848,212,12,126.3
1981,GAAPD00,"Atlanta, GA",435626,4537,12,1041.49
1981,CO00101,"Aurora, CO",162900,359,12,220.38
1981,TX22701,"Austin, TX",357607,669,12,187.08
1981,MD00301,"Baltimore County, MD",662025,1394,12,210.57
1981,MDBPD00,"Baltimore, MD",797429,10715,12,1343.69
1981,MA01301,"Boston, MA",566679,9248,12,1631.96
1981,NY01401,"Buffalo, NY",359167,1734,10,482.78
1981,NC06001,"Charlotte, NC",316503,774,12,244.55
1981,ILCPD00,"Chicago, IL",3012703,16118,12,535
1981,OHCIP00,"Cincinnati, OH",383441,1756,12,457.96
1981,OHCLP00,"Cleveland, OH",573145,7821,12,1364.58
1981,OHCOP00,"Columbus, OH",562896,3356,12,596.2
1981,TXDPD00,"Dallas, TX",937273,5402,12,576.35
1981,CODPD00,"Denver, CO",503695,2403,12,477.07
1981,MI82349,"Detroit, MI",1193805,14797,12,1239.48
1981,TX07102,"El Paso, TX",442677,871,12,196.76
1981,VA02901,"Fairfax County, VA",579696,533,11,91.94
1981,TX22012,"Fort Worth, TX",398482,2312,12,580.2
1981,CA01005,"Fresno, CA",221129,1102,12,498.35
1981,HI00200,"Honolulu, HI",773331,1320,12,170.69
1981,TXHPD00,"Houston, TX",1621897,6893,9,425
1981,INIPD00,"Indianapolis, IN",461820,2194,12,475.08
1981,FL01602,"Jacksonville, FL",575157,2340,12,406.85
1981,MOKPD00,"Kansas City, MO",450211,3235,12,718.55
1981,NV00201,"Las Vegas, NV",406915,2778,12,682.7
1981,CA01941,"Long Beach, CA",366405,2928,12,799.12
1981,CA01900,"Los Angeles County, CA",1047260,4256,12,406.39
1981,CA01942,"Los Angeles, CA",3031090,28152,12,928.77
1981,KY05680,"Louisville, KY",,,,
1981,TNMPD00,"Memphis, TN",654096,4092,12,625.6
1981,AZ00717,"Mesa, AZ",153941,143,12,92.89
1981,FL01300,"Miami-Dade County, FL",822971,5526,12,671.47
1981,FL01306,"Miami, FL",356734,6196,12,1736.87
1981,WIMPD00,"Milwaukee, WI",641715,1806,12,281.43
1981,MN02711,"Minneapolis, MN",372784,2296,12,615.91
1981,MD01604,"Montgomery County, MD",527903,872,12,165.18
1981,TN01901,"Nashville, TN",458430,1594,12,347.71
1981,NY02900,"Nassau County, NY",1054349,1223,12,116
1981,LANPD00,"New Orleans, LA",571771,4950,12,865.73
1981,NY03030,"New York City, NY",7070429,107475,12,1520.06
1981,NJNPD00,"Newark, NJ",332746,7778,12,2337.52
1981,CA00109,"Oakland, CA",347736,3836,12,1103.14
